Crown Cafe at Statue of Liberty,Liberty Island,New York,NY,10004,212-363-3180,www.thestatueofliberty.com  ,4 Star Certified Green Restaurant
Boloco,1080 Boylston St.,Boston,MA,2115,617-359-9087,www.boloco.com/,2 Star Certified Green Restaurant
Boloco,283 Longwood Ave.,Boston,MA,2115,617-232-2166,www.boloco.com/,2 Star Certified Green Restaurant
Boloco,133 Federal St.,Boston,MA,2110,617-357-9727,www.boloco.com/,2 Star Certified Green Restaurant
Boloco,35 South Main St.,Hanover,NH,3755,603-643-0202,www.boloco.com/,2 Star Certified Green Restaurant
Veselka,144 2nd Ave.,New York,NY,10003,212-228-9682,www.veselka.com,2 Star Certified Green Restaurant
Grendel’s Den,89 Winthrop St.,Cambridge,MA,2138,617-491-1160,www.grendelsden.com,2 Star Certified Green Restaurant
Boloco,50 Congress St.,Boston,MA,2109,617-357-9013,www.boloco.com,2 Star Certified Green Restaurant
Boxcar Cantina,44 Old Field Point Rd.,Greenwich,CT,6830,203-661-4774,www.boxcarcantina.com,2 Star Certified Green Restaurant
International Village Dining at Northeastern University,1155 Tremont St.,Boston,MA,2120,617-373-8860,http://www.nudining.com/international-village,3 Star Certified Green Restaurant
Signal Mountain Lodge,1 Inner Park Rd.,Moran,WY,83013,307-543-2831,www.signalmountainlodge.com,3 Star Certified Green Restaurant
Winsor School,Pilgrim Rd.,Boston,MA,2215,617-735-9500,http://www.winsor.edu/,2 Star Certified Green Restaurant
The Dalton School,108 E 89th St. ,New York,NY,10128,212-423-5200 ,http://www.dalton.org,3 Star Certified Green Restaurant
Aroma Thyme Bistro,165 Canal St.,Ellenville,NY,12428,845-647-3000,http://www.aromathymebistro.com/,3 Star Certified Green Restaurant
Horace Mann School,231 West 246th St.,Riverdale,NY,10471,718-432-4000 ,http://www.horacemann.org,2 Star Certified Green Restaurant
Occasions Caterers,655 Taylor St NE,Washington,DC,20017,202-546-7400,http://www.occasionscaterers.com,3 Star Certified Green Restaurant
Founding Farmers,1924 Pennsylvania Ave. NW,Washington,DC,20006,202-822-TRUE,http://www.wearefoundingfarmers.com/,3 Star Certified Green Restaurant
Cafe Manna,3815 N. Brookfield Rd.,Brookfield,WI,53045,262-790-2340,http://www.cafemanna.com/,3 Star Certified Green Restaurant
Grand Canyon Lodge North Rim,End of Hwy 67,North Rim,AZ,86052,877-386-4383,http://foreverlodging.com/foreverinfo.cfm?PropertyKey=181&ContentKey=221226,2 Star Certified Green Restaurant
Pisticci,125 La Salle St.,New York,NY,10027,212-932-3500,http://www.pisticcinyc.com/,4 Star Certified Green Restaurant
Edgewood College Dining Services,1000 Edgewood College Dr.,Madison,WI,53711,800-444-4861,https://www.edgewood.edu/student-life/campus-dining,3 Star Certified Green Restaurant
The Greenhouse Tavern,2038 E. 4th St.,Cleveland,OH,44115,216-443-0511,http://thegreenhousetavern.com/,3 Star Certified Green Restaurant
Bamboo Sushi Southeast,310 SE 28th Ave.,Portland,OR,97214,503-232-5255,http://www.bamboosushipdx.com/,3 Star Certified Green Restaurant
Lou's Restaurant and Bakery,30 S. Main St.,Hanover,NH,3755,603-643-3321,http://www.lousrestaurant.net/,2 Star Certified Green Restaurant
Night Kitchen Bakery,7725 Germantown Ave.,Philadelphia,PA ,19118,215-248-9235,www.nightkitchenbakery.com,1 Star Certified Green Restaurant
Federal City Caterers,"1119 12th St., NW",Washington,DC,20005,202-408-9700,www.federalcity.com/,2 Star Certified Green Restaurant
Sebastian's Cafe at the Harvard University School of Public Health,677 Huntington Ave.,Boston,MA,2115,617-432-1045,http://www.dining.harvard.edu/retail_dining/restaurants_sebastians.html,3 Star Certified Green Restaurant
Rye Country Day School,10 Cedar St,Rye,NY,10580,914-967-1417,http://www.rcds.rye.ny.us/,3 Star Certified Green Restaurant
Charlotte Latin School,9502 Providence Road,Charlotte ,NC,28277,704-846-1100,http://www.charlottelatin.org/,2 Star Certified Green Restaurant
Friends Seminary School,222 East 16th St,New York,NY,10003,212-979-5030,www.friendsseminary.org,3 Star Certified Green Restaurant
Columbia Grammar and Preparatory School,5 West 93rd Street,New York,NY,10025,212-749-6200 ,www.cgps.org,2 Star Certified Green Restaurant
Providence Day School ,5800 Sardis Road,Charlotte,NC,28270,704-887-6000,www.providencedayschool.org,2 Star Certified Green Restaurant
National Cathedral School,3612 Woodley Road NW,Washington,DC,20016,202-537-6300,www.ncs.cathedral.org,2 Star Certified Green Restaurant
Boloco,2 Park Plaza,Boston,MA,2116,617-778-6772,www.boloco.com/,2 Star Certified Green Restaurant
Simone’s,960 W. 18th St.,Chicago,IL,60608,312-666-8601,http://simonesbar.com/,3 Star Certified Green Restaurant
Herrington on the Bay,7151 Lake Shore Drive,Rose Haven,MD,20714,301-855-8435,http://www.herringtononthebay.com/,3 Star Certified Green Restaurant
Pizzeria Rustica,2527 W. Colorado Ave.,Colorado Springs,CO,80904,719-632-8121,http://www.pizzeriarustica.com/,4 Star Certified Green Restaurant
Tex Mex Connection,201 E. Walnut St.,North Wales,PA,19454,215-699-9552,http://www.texmexconnection.com/,3 Star Certified Green Restaurant
Kona Pub & Brewery,75-5629 Kuakini Hwy.,Kailua-Kona,HI,96740,808-334-2739,http://www.konabrewingco.com/,4 Star Certified Green Restaurant
Kona Brewing Company at Koko Marina Center,7192 Kalaniana'ole Hwy.,Honolulu,HI,96825,808-394-5662,http://www.konabrewingco.com/,2 Star Certified Green Restaurant
Blind Faith Cafe,525 Dempster St,Evanston,IL,60201,847-328-6875,http://www.blindfaithcafe.com/,2 Star Certified Green Restaurant
Posana,1 Biltmore Ave,Asheville,NC,28801,828-505-3969,http://www.posanacafe.com/,3 Star Certified Green Restaurant
Geppetto Catering,4505 Queensbury Rd.,Riverdale,MD,20737,301-927-8800,http://www.geppettocatering.com/index2.html,3 Star Certified Green Restaurant
Egg Plantation,24415 Walnut St,Newhall ,CA,91321,661-255-8222,http://www.eggplantation.com,2 Star Certified Green Restaurant
Bella Sera,414 Morganza Rd.,Canonsburg,PA,15317,724-745-5575,http://bellaserapittsburgh.com/,3 Star Certified Green Restaurant
Federal Reserve Bank of St. Louis,P.O. Box 442,St. Louis,MO,63166,314-444-8417,,2 Star Certified Green Restaurant
American Museum of Natural History Food Court,Central Park West at 79th St,New York,NY,10024,212-769-5100,http://www.amnh.org/,3 Star Certified Green Restaurant
Phipps Conservatory and Botanical Gardens,700 Frank Curto Dr.,Pittsburgh,PA,15232,412-622-6914,http://phipps.conservatory.org/,3 Star Certified Green Restaurant
Avec,615 W Randolph St. ,Chicago,IL,60661,312-377-2002,www.avecrestaurant.com/,2 Star Certified Green Restaurant
Blackbird,619 W Randolph,Chicago,IL,60661,312-715-0708,www.blackbirdrestaurant.com,2 Star Certified Green Restaurant
The Publican,837 West Fulton Market,Chicago,IL,60607,312-733-9555,http://thepublicanrestaurant.com/,2 Star Certified Green Restaurant
Design Cuisine,2659 S. Shirlington Rd,Arlington,VA,22206,703-979-9400,http://www.designcuisine.com/,2 Star Certified Green Restaurant
Harry’s Roadhouse,96 Old Las Vegas Hwy,Santa Fe,NM,87505,505-989-4629,http://www.harrysroadhousesantafe.com,3 Star Certified Green Restaurant
Muir Woods Trading Company,One Muir Woods Highway,Mill Valley,CA,94941,415-388-7059,www.muirwoodstradingcompany.com,3 Star Certified Green Restaurant
Bloomberg Cafeteria,100 Business Park Drive,Skillman,NJ,8558,609-267-3017,,2 Star Certified Green Restaurant
Windows Catering Company,5724 General Washington Drive,Alexandria,VA,22312,703-519-3500,http://www.catering.com/,2 Star Certified Green Restaurant
On Twelve at AllianceBernstein,1345 Avenue of the Americas,New York,NY,10105,212-969-1585,,4 Star Certified Green Restaurant
Ernst & Young Secaucus,200 Plaza Drive,Secaucus,NJ,7094,   ,,2 Star Certified Green Restaurant
Goldman Sachs 30H,30 Hudson Street,Jersey City,NJ,7302, ,,3 Star Certified Green Restaurant
Spangler Center Dining Hall,"Spangler Center, Harvard Business School",Boston,MA,2163,,http://www.hbs.edu/Pages/default.aspx,3 Star Certified Green Restaurant
Cafe57 at Hearst,300 W 57th Street,New York,NY,10019,,,3 Star Certified Green Restaurant
Legg Mason Cafeteria,100 International Drive,Baltimore,MD,21202,410-539-0000,,3 Star Certified Green Restaurant
The Terrace at Longwood Gardens,1001 Longwood Road,Kennett Square,PA,19348,610-388-1000,http://www.longwoodgardens.org/TheTerraceRestaurant.html,3 Star Certified Green Restaurant
Moody's Investors Services Corporate Cafe,7 World Trade Center at 250 Greenwich Street,New York,NY,10007, ,,3 Star Certified Green Restaurant
Morgan Stanley Corporate Cafe,"1585 Broadway, Level A",New York,NY,10036,212-761-6659,,3 Star Certified Green Restaurant
The Lodge at Bryce Canyon,13500 Utah 12,Bryce,UT,84764,435-834-8700,www.BryceCanyonForever.com,3 Star Certified Green Restaurant
Pizza by Certe',132 E 56th,New York,NY,10106,212-813-2020,http://www.certenyc.com,3 Star Certified Green Restaurant
The Sushi Bar,414 Railroad Ave,McCall,ID,83638,208-634-7874,www.sushibarmccall.com,3 Star Certified Green Restaurant
Fallingwater Cafe,1491 Mill Run Road,Mill Run,PA,15464,724-329-7819,www.fallingwater.org,2 Star Certified Green Restaurant
The Grey Plume,"Midtown Crossing, 220 S. 31st Ave, Suite 3101",Omaha,NE,68131,402-763-4447,http://www.thegreyplume.com/,4 Star SustainaBuild Certified Green Restaurant
Juice Generation,117 West 72nd St,New York,NY,10023,212-579-0400,www.juicegeneration.com,2 Star Certified Green Restaurant
Juice Generation,644 Ninth Ave,New York,NY,10036,212-541-5600,www.juicegeneration.com,2 Star Certified Green Restaurant
Bellagreen City Centre,801 Town And Country Blvd. 1B,Houston,TX,77024,713-464-5557,http://www.bellagreen.com/,4 Star Certified Green Restaurant
Audubon Catering,6500 Magazine St,New Orleans,LA,70118,504-212-5301,http://www.auduboninstitute.org/events/private,2 Star Certified Green Restaurant
Parsley's Catering,1127 White Circle NW,Marietta,GA,30060,770-396-5361,http://www.parsleys.com/,2 Star Certified Green Restaurant
Hunter's Head Tavern,9048 John Mosby Hwy,Upperville,VA,20184,540-592-9020,http://www.ayrshirefarm.com/,3 Star Certified Green Restaurant
John Hancock Cafe,601 Congress St,Boston,MA,2210,617-663-3000,http://aramarkcafe.com/layouts/canary_2010/locationhome.aspx?locationid=2041,2 Star Certified Green Restaurant
Scoozi Events NYC,142 West 83rd St,New York,NY,10024,212-799-0080,http://www.scoozievents.com/,3 Star Certified Green Restaurant
Arooga’s Route 15,1300 Camp Hill Bypass,Camp Hill,PA,17011,717-730-9464,www.aroogas.com,1 Star Certified Green Restaurant
Arooga’s Route 39,4301 Linglestown Rd,Harrisburg,PA,17112,717-909-9464,www.aroogas.com,1 Star Certified Green Restaurant
Arooga’s Route 11,4713 Carlisle Pike,Mechanicsburg,PA,17050,717-737-9464,www.aroogas.com,1 Star Certified Green Restaurant
Arooga’s Route 22,7025 Allentown Blvd.,Harrisburg,PA,17112,717-920-9464,http://www.aroogas.com,1 Star Certified Green Restaurant
Miel & RumBa,"InterContinental Boston, 510 Atlantic Ave.",Boston,MA,2210,617-217-5046,www.intercontinentalboston.com,3 Star Certified Green Restaurant
Green Mountain College,One Brennan Circle,Poultney,VT,5764,800-776-6675,www.greenmtn.edu,3 Star Certified Green Restaurant
Harmony Restaurant,"800 Redwood Highway, Ste 401",Mill Valley,CA,94941,415-381-5300,www.harmonyrestaurantgroup.com,2 Star Certified Green Restaurant
The Great Impasta,42 Maine St,Brunswick,ME,4011,207-729-5858,www.thegreatimpasta.com,3 Star Certified Green Restaurant
"Cafe at Wild Things, Lincoln Park Zoo",2230 North Cannon Drive,Chicago,IL,60614,312-742-2000,www.lpzoo.org,3 Star Certified Green Restaurant
Rendezvous Cafe at UCLA,270 De Neve Drive,Los Angeles,CA,90095,310-206-9200,www.ucla.edu,3 Star Certified Green Restaurant
Mammoth Hotel Dining Room,Mammoth Hot Springs,Yellowstone National Park,WY,82109,307-344-5314,http://www.yellowstonenationalparklodges.com/dining/mammoth-hot-springs/mammoth-hotel-dining-room/,4 Star Certified Green Restaurant
Morgan Stanley Corporate Cafeteria,2000 Westchester Ave,Purchase,NY,10577,   ,,3 Star Certified Green Restaurant
Ernst & Young Corporate Cafe,5 Times Square,New York,NY,10036,   ,,2 Star Certified Green Restaurant
Carmo,527 Julia St.,New Orleans,LA,70130,504-875-4132,www.cafecarmo.com,3 Star Certified Green Restaurant
National Museum of Natural History Cafes,1000 Constitution Ave NW,Washington,DC,20004,202-633-1000,http://www.mnh.si.edu/visit/restaurants.htm ,3 Star Certified Green Restaurant
Town Square Cafe at Wyndham Worldwide,22 Sylvan Drive,Parsippany,NJ,7054,973-753-6811,,4 Star Certified Green Restaurant
Ballo,1 Mohegan Sun Blvd,Uncasville,CT,6382, 860-862-1100,www.balloitalian.com,3 Star Certified Green Restaurant
Riverside Cafe at EBSCO Information Services,10 Estes St,Ipswich,MA,1938,978-356-6500,,3 Star Certified Green Restaurant
Morgan Stanley Corporate Cafe,522 5th Ave,New York,NY,,   ,,3 Star Certified Green Restaurant
Dupree Catering,1006 Delaware Ave,Lexington,KY,40502,859-231-0464,www.dupreecatering.com,3 Star Certified Green Restaurant
The Cantina,10 Biltmore Plaza,Asheville,NC,28803,828-505-7682,http://www.cantinabiltmore.com ,2 Star Certified Green Restaurant
Bloomberg Cafeteria,431 Ridge Road,Dayton,NJ,8810, ,,2 Star Certified Green Restaurant
A Thyme to Cook,426 NW Corner Rd,N. Stonington,CT,6359,860-887-5932,http://www.athymetocook.com/,3 Star Certified Green Restaurant
