,Name,Address,City,State,Zip,PhoneNum,website,rating
0,Crown Cafe at Statue of Liberty,Liberty Island,New York,NY,10004,212-363-3180,www.thestatueofliberty.com  ,4 Star Certified Green Restaurant
1,Veselka,144 2nd Ave.,New York,NY,10003,212-228-9682,www.veselka.com,2 Star Certified Green Restaurant
2,The Dalton School,108 E 89th St. ,New York,NY,10128,212-423-5200 ,http://www.dalton.org,3 Star Certified Green Restaurant
3,Aroma Thyme Bistro,165 Canal St.,Ellenville,NY,12428,845-647-3000,http://www.aromathymebistro.com/,3 Star Certified Green Restaurant
4,Horace Mann School,231 West 246th St.,Riverdale,NY,10471,718-432-4000 ,http://www.horacemann.org,2 Star Certified Green Restaurant
5,Pisticci,125 La Salle St.,New York,NY,10027,212-932-3500,http://www.pisticcinyc.com/,4 Star Certified Green Restaurant
6,Rye Country Day School,10 Cedar St,Rye,NY,10580,914-967-1417,http://www.rcds.rye.ny.us/,3 Star Certified Green Restaurant
7,Friends Seminary School,222 East 16th St,New York,NY,10003,212-979-5030,www.friendsseminary.org,3 Star Certified Green Restaurant
8,Columbia Grammar and Preparatory School,5 West 93rd Street,New York,NY,10025,212-749-6200 ,www.cgps.org,2 Star Certified Green Restaurant
9,American Museum of Natural History Food Court,Central Park West at 79th St,New York,NY,10024,212-769-5100,http://www.amnh.org/,3 Star Certified Green Restaurant
10,On Twelve at AllianceBernstein,1345 Avenue of the Americas,New York,NY,10105,212-969-1585,,4 Star Certified Green Restaurant
11,Cafe57 at Hearst,300 W 57th Street,New York,NY,10019,,,3 Star Certified Green Restaurant
12,Moody's Investors Services Corporate Cafe,7 World Trade Center at 250 Greenwich Street,New York,NY,10007, ,,3 Star Certified Green Restaurant
13,Morgan Stanley Corporate Cafe,"1585 Broadway, Level A",New York,NY,10036,212-761-6659,,3 Star Certified Green Restaurant
14,Pizza by Certe',132 E 56th,New York,NY,10106,212-813-2020,http://www.certenyc.com,3 Star Certified Green Restaurant
15,Juice Generation,117 West 72nd St,New York,NY,10023,212-579-0400,www.juicegeneration.com,2 Star Certified Green Restaurant
16,Juice Generation,644 Ninth Ave,New York,NY,10036,212-541-5600,www.juicegeneration.com,2 Star Certified Green Restaurant
17,Scoozi Events NYC,142 West 83rd St,New York,NY,10024,212-799-0080,http://www.scoozievents.com/,3 Star Certified Green Restaurant
18,Morgan Stanley Corporate Cafeteria,2000 Westchester Ave,Purchase,NY,10577,   ,,3 Star Certified Green Restaurant
19,Ernst & Young Corporate Cafe,5 Times Square,New York,NY,10036,   ,,2 Star Certified Green Restaurant
20,Morgan Stanley Corporate Cafe,522 5th Ave,New York,NY,,   ,,3 Star Certified Green Restaurant
21,Morgan Stanley Executive Dining Room,"1585 Broadway, Level A",New York,NY,10036,212-761-6659,,2 Star Certified Green Restaurant
22,Lifeworks Restaurant at JP Morgan Chase,383 Madison Ave,New York,NY,10017,212-272-0477,,2 Star Certified Green Restaurant
23,Juice Generation,97 Greenwich Ave,New York,NY,10014,212-675-0800,http://www.juicegeneration.com/,2 Star Certified Green Restaurant
24,Convent of the Sacred Heart NYC,1 East 91st Street,New York,NY,10128,212-722-4745,www.CSHNYC.org,1 Star Certified Green Restaurant
25,Lycee Francais de New York School,505 East 75th St,New York,NY,10021,212-369-1400,www.lfny.org,2 Star Certified Green Restaurant
26,The Hewitt School,45 East 75th St,New York,NY,10021,212-288-1919,www.hewittschool.org,2 Star Certified Green Restaurant
27,German School New York,50 Partridge Road,White Plains,NY,10605,781-314-9279,www.dsny.org,2 Star Certified Green Restaurant
28,Hackley School,293 Benedict Ave,Tarrytown,NY,10591,914-366-2608,http://www.hackleyschool.org,3 Star Certified Green Restaurant
29,Juice Generation,1486 Third Ave,New York,NY,10028,212-248-4071,http://www.juicegeneration.com,2 Star Certified Green Restaurant
