,Name,Address,City,State,Zip,rating
0,CROWN CAFE AT STATUE OF LIBERTY,LIBERTY ISLAND,NEW YORK,NY,10004,4
1,BOLOCO,1080 BOYLSTON ST.,BOSTON,MA,2115,2
5,VESELKA,144 2ND AVE.,NEW YORK,NY,10003,2
6,GRENDELS DEN,89 WINTHROP ST.,CAMBRIDGE,MA,2138,2
8,BOXCAR CANTINA,44 OLD FIELD POINT RD.,GREENWICH,CT,6830,2
9,INTERNATIONAL VILLAGE DINING AT NORTHEASTERN UNIVERSITY,1155 TREMONT ST.,BOSTON,MA,2120,3
10,SIGNAL MOUNTAIN LODGE,1 INNER PARK RD.,MORAN,WY,83013,3
11,WINSOR SCHOOL,PILGRIM RD.,BOSTON,MA,2215,2
12,THE DALTON SCHOOL,108 E 89TH ST.,NEW YORK,NY,10128,3
13,AROMA THYME BISTRO,165 CANAL ST.,ELLENVILLE,NY,12428,3
14,HORACE MANN SCHOOL,231 WEST 246TH ST.,RIVERDALE,NY,10471,2
15,OCCASIONS CATERERS,655 TAYLOR ST NE,WASHINGTON,DC,20017,3
16,FOUNDING FARMERS,1924 PENNSYLVANIA AVE. NW,WASHINGTON,DC,20006,3
17,CAFE MANNA,3815 N. BROOKFIELD RD.,BROOKFIELD,WI,53045,3
18,GRAND CANYON LODGE NORTH RIM,END OF HWY 67,NORTH RIM,AZ,86052,2
19,PISTICCI,125 LA SALLE ST.,NEW YORK,NY,10027,4
20,EDGEWOOD COLLEGE DINING SERVICES,1000 EDGEWOOD COLLEGE DR.,MADISON,WI,53711,3
21,THE GREENHOUSE TAVERN,2038 E. 4TH ST.,CLEVELAND,OH,44115,3
22,BAMBOO SUSHI SOUTHEAST,310 SE 28TH AVE.,PORTLAND,OR,97214,3
23,LOU'S RESTAURANT AND BAKERY,30 S. MAIN ST.,HANOVER,NH,3755,2
24,NIGHT KITCHEN BAKERY,7725 GERMANTOWN AVE.,PHILADELPHIA,PA,19118,1
25,FEDERAL CITY CATERERS,"1119 12TH ST., NW",WASHINGTON,DC,20005,2
26,SEBASTIAN'S CAFE AT THE HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH,677 HUNTINGTON AVE.,BOSTON,MA,2115,3
27,RYE COUNTRY DAY SCHOOL,10 CEDAR ST,RYE,NY,10580,3
28,CHARLOTTE LATIN SCHOOL,9502 PROVIDENCE ROAD,CHARLOTTE,NC,28277,2
29,FRIENDS SEMINARY SCHOOL,222 EAST 16TH ST,NEW YORK,NY,10003,3
30,COLUMBIA GRAMMAR AND PREPARATORY SCHOOL,5 WEST 93RD STREET,NEW YORK,NY,10025,2
31,PROVIDENCE DAY SCHOOL,5800 SARDIS ROAD,CHARLOTTE,NC,28270,2
32,NATIONAL CATHEDRAL SCHOOL,3612 WOODLEY ROAD NW,WASHINGTON,DC,20016,2
34,SIMONES,960 W. 18TH ST.,CHICAGO,IL,60608,3
35,HERRINGTON ON THE BAY,7151 LAKE SHORE DRIVE,ROSE HAVEN,MD,20714,3
36,PIZZERIA RUSTICA,2527 W. COLORADO AVE.,COLORADO SPRINGS,CO,80904,4
37,TEX MEX CONNECTION,201 E. WALNUT ST.,NORTH WALES,PA,19454,3
38,KONA PUB & BREWERY,75-5629 KUAKINI HWY.,KAILUA-KONA,HI,96740,4
39,KONA BREWING COMPANY AT KOKO MARINA CENTER,7192 KALANIANA'OLE HWY.,HONOLULU,HI,96825,2
40,BLIND FAITH CAFE,525 DEMPSTER ST,EVANSTON,IL,60201,2
41,POSANA,1 BILTMORE AVE,ASHEVILLE,NC,28801,3
42,GEPPETTO CATERING,4505 QUEENSBURY RD.,RIVERDALE,MD,20737,3
43,EGG PLANTATION,24415 WALNUT ST,NEWHALL,CA,91321,2
44,BELLA SERA,414 MORGANZA RD.,CANONSBURG,PA,15317,3
45,FEDERAL RESERVE BANK OF ST. LOUIS,P.O. BOX 442,ST. LOUIS,MO,63166,2
46,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,CENTRAL PARK WEST AT 79TH ST,NEW YORK,NY,10024,3
47,PHIPPS CONSERVATORY AND BOTANICAL GARDENS,700 FRANK CURTO DR.,PITTSBURGH,PA,15232,3
48,AVEC,615 W RANDOLPH ST.,CHICAGO,IL,60661,2
49,BLACKBIRD,619 W RANDOLPH,CHICAGO,IL,60661,2
50,THE PUBLICAN,837 WEST FULTON MARKET,CHICAGO,IL,60607,2
51,DESIGN CUISINE,2659 S. SHIRLINGTON RD,ARLINGTON,VA,22206,2
52,HARRYS ROADHOUSE,96 OLD LAS VEGAS HWY,SANTA FE,NM,87505,3
53,MUIR WOODS TRADING COMPANY,ONE MUIR WOODS HIGHWAY,MILL VALLEY,CA,94941,3
54,BLOOMBERG CAFETERIA,100 BUSINESS PARK DRIVE,SKILLMAN,NJ,8558,2
55,WINDOWS CATERING COMPANY,5724 GENERAL WASHINGTON DRIVE,ALEXANDRIA,VA,22312,2
56,ON TWELVE AT ALLIANCEBERNSTEIN,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,4
57,ERNST & YOUNG SECAUCUS,200 PLAZA DRIVE,SECAUCUS,NJ,7094,2
58,GOLDMAN SACHS 30H,30 HUDSON STREET,JERSEY CITY,NJ,7302,3
59,SPANGLER CENTER DINING HALL,"SPANGLER CENTER, HARVARD BUSINESS SCHOOL",BOSTON,MA,2163,3
60,CAFE57 AT HEARST,300 W 57TH STREET,NEW YORK,NY,10019,3
61,LEGG MASON CAFETERIA,100 INTERNATIONAL DRIVE,BALTIMORE,MD,21202,3
62,THE TERRACE AT LONGWOOD GARDENS,1001 LONGWOOD ROAD,KENNETT SQUARE,PA,19348,3
63,MOODY'S INVESTORS SERVICES CORPORATE CAFE,7 WORLD TRADE CENTER AT 250 GREENWICH STREET,NEW YORK,NY,10007,3
64,MORGAN STANLEY CORPORATE CAFE,"1585 BROADWAY, LEVEL A",NEW YORK,NY,10036,3
65,THE LODGE AT BRYCE CANYON,13500 UTAH 12,BRYCE,UT,84764,3
66,PIZZA BY CERTE',132 E 56TH,NEW YORK,NY,10106,3
67,THE SUSHI BAR,414 RAILROAD AVE,MCCALL,ID,83638,3
68,FALLINGWATER CAFE,1491 MILL RUN ROAD,MILL RUN,PA,15464,2
69,THE GREY PLUME,"MIDTOWN CROSSING, 220 S. 31ST AVE, SUITE 3101",OMAHA,NE,68131,4
70,JUICE GENERATION,117 WEST 72ND ST,NEW YORK,NY,10023,2
72,BELLAGREEN CITY CENTRE,801 TOWN AND COUNTRY BLVD. 1B,HOUSTON,TX,77024,4
73,AUDUBON CATERING,6500 MAGAZINE ST,NEW ORLEANS,LA,70118,2
74,PARSLEY'S CATERING,1127 WHITE CIRCLE NW,MARIETTA,GA,30060,2
75,HUNTER'S HEAD TAVERN,9048 JOHN MOSBY HWY,UPPERVILLE,VA,20184,3
76,JOHN HANCOCK CAFE,601 CONGRESS ST,BOSTON,MA,2210,2
77,SCOOZI EVENTS NYC,142 WEST 83RD ST,NEW YORK,NY,10024,3
78,AROOGAS ROUTE 15,1300 CAMP HILL BYPASS,CAMP HILL,PA,17011,1
79,AROOGAS ROUTE 39,4301 LINGLESTOWN RD,HARRISBURG,PA,17112,1
80,AROOGAS ROUTE 11,4713 CARLISLE PIKE,MECHANICSBURG,PA,17050,1
81,AROOGAS ROUTE 22,7025 ALLENTOWN BLVD.,HARRISBURG,PA,17112,1
82,MIEL & RUMBA,"INTERCONTINENTAL BOSTON, 510 ATLANTIC AVE.",BOSTON,MA,2210,3
83,GREEN MOUNTAIN COLLEGE,ONE BRENNAN CIRCLE,POULTNEY,VT,5764,3
84,HARMONY RESTAURANT,"800 REDWOOD HIGHWAY, STE 401",MILL VALLEY,CA,94941,2
85,THE GREAT IMPASTA,42 MAINE ST,BRUNSWICK,ME,4011,3
86,"CAFE AT WILD THINGS, LINCOLN PARK ZOO",2230 NORTH CANNON DRIVE,CHICAGO,IL,60614,3
87,RENDEZVOUS CAFE AT UCLA,270 DE NEVE DRIVE,LOS ANGELES,CA,90095,3
88,MAMMOTH HOTEL DINING ROOM,MAMMOTH HOT SPRINGS,YELLOWSTONE NATIONAL PARK,WY,82109,4
89,MORGAN STANLEY CORPORATE CAFETERIA,2000 WESTCHESTER AVE,PURCHASE,NY,10577,3
90,ERNST & YOUNG CORPORATE CAFE,5 TIMES SQUARE,NEW YORK,NY,10036,2
91,CARMO,527 JULIA ST.,NEW ORLEANS,LA,70130,3
92,NATIONAL MUSEUM OF NATURAL HISTORY CAFES,1000 CONSTITUTION AVE NW,WASHINGTON,DC,20004,3
93,TOWN SQUARE CAFE AT WYNDHAM WORLDWIDE,22 SYLVAN DRIVE,PARSIPPANY,NJ,7054,4
94,BALLO,1 MOHEGAN SUN BLVD,UNCASVILLE,CT,6382,3
95,RIVERSIDE CAFE AT EBSCO INFORMATION SERVICES,10 ESTES ST,IPSWICH,MA,1938,3
97,DUPREE CATERING,1006 DELAWARE AVE,LEXINGTON,KY,40502,3
98,THE CANTINA,10 BILTMORE PLAZA,ASHEVILLE,NC,28803,2
100,A THYME TO COOK,426 NW CORNER RD,N. STONINGTON,CT,6359,3
101,WELL DUNN CATERING,510 11TH STREET SE,WASHINGTON,DC,20003,3
102,GREEN SAGE CAFE,5 BROADWAY ST.,ASHEVILLE,NC,28801,3
103,HOMEGROWN,371 MERRIMON AVE,ASHEVILLE,NC,28801,3
104,CHEF'S EXPRESSIONS,9526 DEERECO RD,TIMONIUM,MD,21093,2
105,THE CORNER KITCHEN,3 BOSTON WAY,ASHEVILLE,NC,28803,3
106,MORGAN STANLEY EXECUTIVE DINING ROOM,"1585 BROADWAY, LEVEL A",NEW YORK,NY,10036,2
107,LIFEWORKS RESTAURANT AT JP MORGAN CHASE,383 MADISON AVE,NEW YORK,NY,10017,2
108,KOMODO KINGDOM CAFE AT AKRON ZOOLOGICAL PARK,500 EDGEWOOD AVE,AKRON,OH,44307,4
110,STRADA,27 BROADWAY ST,ASHEVILLE,NC,28801,3
111,SOCIAL LOUNGE & TAPAS,29 BROADWAY ST,ASHEVILLE,NC,28801,3
113,TEXAS SPICE,"OMNI DALLAS HOTEL, 555 LAMAR ST",DALLAS,TX,75202,2
114,FOUNDING FARMERS MOCO,12505 PARK POTOMAC AVE,POTOMAC,MD,20854,3
116,BLUE PLATE CATERING,1362 W FULTON ST,CHICAGO,IL,60607,3
117,STEPHEN F'S AUSTIN BAR & TERRACE,"INTERCONTINENTAL STEPHEN F AUSTIN HOTEL, 701 CONGRESS AVENUE",AUSTIN,TX,78701,2
118,SOUTHERN ART AND BOURBON BAR,"INTERCONTINENTAL BUCKHEAD, 3315 PEACHTREE ROAD, NE",ATLANTA,GA,30326,2
119,MARI LOS ANGELES,"INTERCONTINENTAL LOS ANGELES CENTURY CITY, 2151 AVENUE OF THE STARS",LOS ANGELES,CA,90067,3
120,BRASSERIE OSCO,"INTERCONTINENTAL MONTREAL, 360 ST-ANTOINE OUEST",MONTREAL,QUEBEC,H1Z3X4,3
121,LUCE RESTAURANT & BAR 888,"INTERCONTINENTAL SAN FRANCISCO, 888 HOWARD STREET",SAN FRANCISCO,CA,94103,3
122,CAFE DU PARC,"WILLARD INTERCONTINENTAL HOTEL, 1401 PENNSYLVANIA AVENUE NW",WASHINGTON,DC,20004,3
123,OLDFIELDS SCHOOL,1500 GLENCOE RD,GLENCOE,MD,21152,2
124,CONVENT OF THE SACRED HEART NYC,1 EAST 91ST STREET,NEW YORK,NY,10128,1
125,LYCEE FRANCAIS DE NEW YORK SCHOOL,505 EAST 75TH ST,NEW YORK,NY,10021,2
126,THE HEWITT SCHOOL,45 EAST 75TH ST,NEW YORK,NY,10021,2
127,THE MEADOWBROOK SCHOOL,10 FARM ROAD,WESTON,MA,2493,2
128,GERMAN SCHOOL NEW YORK,50 PARTRIDGE ROAD,WHITE PLAINS,NY,10605,2
129,GILL ST. BERNARD'S SCHOOL,25 BERNARDS ROAD,GLADSTONE,NJ,7934,2
130,HACKLEY SCHOOL,293 BENEDICT AVE,TARRYTOWN,NY,10591,3
131,PRINCETON DAY SCHOOL,650 THE GREAT ROAD,PRINCETON,NJ,8542,4
132,DWIGHT ENGLEWOOD,315 EAST PALISADE AVE,ENGLEWOOD,NJ,7632,2
133,BOSTON UNIVERSITY UNION COURT,775 COMMONWEALTH AVE,BOSTON,MA,2215,3
134,BAMBOO SUSHI NORTHWEST,836 NW 23RD AVENUE,PORTLAND,OR,97210,3
135,AROOGAS ROUTE 94,375 EISENHOWER DR.,HANOVER,PA,17331,1
137,DUKE'S ALEHOUSE AND KITCHEN,110 N. MAIN ST.,CRYSTAL LAKE,IL,60014,3
138,ROOT AND STEM CATERING & EVENTS,2941 FAIRVIEW PARK DR #110,FALLS CHURCH,VA,22042,1
139,JIMMY'S FAMOUS AMERICAN TAVERN,4990 N. HARBOR DRIVE,SAN DIEGO,CA,92651,1
140,CATAQUA PUBLIC HOUSE AT REDHOOK BREWERY,35 CORPORATE DR.,PORTSMOUTH,NH,3801,3
141,NAPIZZA,1702 INDIA ST,SAN DIEGO,CA,92101,3
142,MUSE KITCHEN,1666 LAS VIRGENES CYN RD.,CALABASAS,CA,91302,4
143,WESTMOOR CLUB BISTRO CLUBHOUSE,10 WESTMOOR LANE,NANTUCKET,MA,2554,2
144,THE BEACH PLUM AT THE WESTMOOR CLUB,"WESTMOOR CLUB, 10 WESTMOOR LANE",NANTUCKET,MA,2554,2
