,Unnamed: 0,business_id,categories,name,review_count,stars,address,city,state,postal_code,latitude,longitude,text
0,156,jScBTQtdAt-8RshaiBEHgw,ETHNIC FOOD  AMERICAN (NEW)  BURGERS  FOOD  RESTAURANTS  ASIAN FUSION  SPECIALTY FOOD  MEXICAN  SANDWICHES  BREAKFAST & BRUNCH  KOREAN,SERVED,664,4.5,"1770 W HORIZON RIDGE, STE 100",HENDERSON,NV,89012,36.0107451,-115.0648029,
1,765,CGUK3cd2gxp2q3KPY19Oog,BREAKFAST & BRUNCH  RESTAURANTS  COFFEE & TEA  CAFES  FOOD,ROOTS CAFE,104,4.0,"2135 SOUTHEND DR, STE 109",CHARLOTTE,NC,28203,35.2065071258,-80.8602583075,
2,813,sMzNLdhJZGzYirIWt-fMAg,COCKTAIL BARS  ITALIAN  AMERICAN (NEW)  NIGHTLIFE  BARS  PIZZA  RESTAURANTS,SIENNA MERCATO,752,4.0,942 PENN AVE,PITTSBURGH,PA,15222,40.4439496,-79.9964366,
3,1060,eU_713ec6fTGNO4BegRaww,RESTAURANTS  ITALIAN  PIZZA,LA TAVOLA ITALIANA,132,3.5,1 BOGGS AVE,PITTSBURGH,PA,15211,40.42677929999999,-80.005652,
4,1240,1HD5iUUfVJDbfEBIn9yVhw,COFFEE & TEA  FOOD  BUBBLE TEA  JUICE BARS & SMOOTHIES,BOBA TEA HOUSE,340,4.0,2055 N DOBSON RD,CHANDLER,AZ,85224,33.3371772,-111.8753627,
5,1378,Mem13A3C202RzT53npn4NA,CATERERS  POLISH  EVENT PLANNING & SERVICES  RESTAURANTS,PIEROGIES PLUS,74,4.5,342 ISLAND AVE,MCKEES ROCKS,PA,15136,40.4688708,-80.0599363,
6,1564,CDpoJiqgM04wqQTZ6QkTqQ,NIGHTLIFE  BARS  RESTAURANTS  JAPANESE  SUSHI BARS  AMERICAN (NEW),SQUID INK,121,4.0,"7318 E SHEA BLVD, STE 101",SCOTTSDALE,AZ,85260,33.5822287,-111.9232574,
7,1975,ujHiaprwCQ5ewziu0Vi9rw,AMERICAN (NEW)  BUFFETS  RESTAURANTS,THE BUFFET AT BELLAGIO,4227,3.5,3600 S LAS VEGAS BLVD,LAS VEGAS,NV,89109,36.11322,-115.17689,
8,2084,6sATfFam9_q9uod0I2aCsg,CHINESE  RESTAURANTS  VEGETARIAN,WU TAI VEGETARIAN RESTAURANT,130,3.5,8425 WOODBINE AVENUE,MARKHAM,ON,L3R 2P4,43.847997,-79.356809,
9,2756,3fw2X5bZYeW9xCz_zGhOHg,FOOD  CHINESE  RESTAURANTS  DESSERTS,TRACY DESSERT,122,3.5,"3235 HIGHWAY 7 E, UNIT 29",MARKHAM,ON,L3R 3P9,43.8489358887,-79.3478012802,
