Restaurant Name,Rating (.5 or 1),Address,External source,Website
Blue Hill,0.5,null,"Listed on Tree Hugger, https://www.treehugger.com/green-food/five-outstanding-green-restaurants.html",null
Plant Food + Wine ,1,"65 2nd Ave., New York, NY 10003",Plant Based (http://www.model4greenliving.com/plantbased-restaurant-guide-nyc),matthewkenneycuisine.com
ABCV,1,"38 East 19th St., New York, NY 10003",Plant Based,https://www.jean-georges.com/restaurants/united-states/new-york/abcv
Bar Verde,1,65 2ND. AVENUE. NY | NY. 10003,Plant Based,https://www.matthewkenneycuisine.com/bar-verde
Black Flamingo,1,"168 Borinquen Pl, Brooklyn, NY 11211",Plant Based,https://www.blackflamingonyc.com/
Blossom on Columbus,1,"507 Columbus Ave., New York, NY 10024",Plant Based,https://www.blossomnyc.com/
The Butcher's Daughter,1,"19 Kenmare St, New York, NY 10012 (few locations)",Plant Based,https://www.thebutchersdaughter.com/
Candle 79,1,154 E. 79th St. New Yorkm NY 10075,Plant Based,http://www.candle79.com/
Dirt Candy,1,"86 Allen St. New York, NY 10002",Plant Based,https://www.dirtcandynyc.com/
Divya's Kitchen,1,"25 1st Avenue New York, NY",Plant Based,http://divyaskitchen.com/
HanGawi,1,"12 E. 32nd St., New York, NY 10016",Plant Based,http://www.hangawirestaurant.com/
JaJaJa,1,"162 E Broadway, New York, NY, 10002",Plant Based,https://www.jajajamexicana.com/
Kajitsu,1,"125 E. 39th St., New York, NY 10016",Plant Based,http://www.kajitsunyc.com/
Le Botaniste,1,"833 Lexington Ave., New York, NY 10065",Plant Based,http://www.lebotaniste.us/
Modern Love,1,"317 Union Ave, Brooklyn, NY 11211",Plant Based,https://www.modernlovebrooklyn.com/
Nix,1,"72 University Pl, New York, NY 10003",Plant Based,http://www.nixny.com/
Souen,1,"210 6th Ave., New York, NY 10014","Plant Based, macrobiotic",http://www.souen.net/
Sun In Bloom,1,"165 Church St., New York, NY 10007",Plant Based,https://suninbloom.com/
XYST,1,44 W 17th St NY | NY. 10011,Plant Based,matthewkenneycuisine.com
Ancolie ,1,"58 W 8th St. New York, NY 10011",Plant Based,https://www.ancolie.co/menu
Beyond Sushi,1,"229 E. 14th St. New York, NY 10003 (3 locations)",Plant Based,https://beyondsushi.com/
Bombay Sandwich Co. ,1,"48 W. 27th St. New York, NY 10001",Plant Based,http://bombaysandwichco.com/
by Chloe,1,multiple locations NYC,Plant Based,https://eatbychloe.com/
Candle Cafe,1,"1307 3rd Ave., New York, NY 10021",Plant Based,http://www.candlecafe.com/
Champs Diner,1,"197 Meserole St., Brooklyn, NY 11206",Plant Based,https://www.champsdiner.com/
Cocoron Soba,1,"37 Kenmare St., New York, NY 10012

",Plant Based,https://www.cocoronandgoemon.com/
Inday,1,"1133 Broadway. New York, NY 10010",Plant Based,https://www.indaynyc.com/
Jivamuktea Cafe,1,"841 Broadway, 2nd Fl., New York, NY 10003",Plant Based,https://jivamuktiyoga.com/centers/jivamuktea-caf%C3%A9
Orchard Grocer,1,"78 Orchard St., New York, NY 10002",Plant Based,https://www.orchardgrocer.com/
Organic Grill,1,"123 1st Ave., New York, NY 10003",Plant Based,https://www.theorganicgrill.com/
Peacefood Cafe,1,"460 Amsterdam Ave., New York, NY 10024 (2 locations)",Plant Based,http://www.peacefoodcafe.com/
Superiority Burger,1,"430 E. 9th St, New York, NY 10009",Plant Based,http://www.superiorityburger.com/
The Cinnamon Snail,1,"7th Ave & West 33rd Street, New York, NY 10005",Plant Based,http://cinnamonsnail.com/
Seasoned Vegan,1,"55 St. Nicholas Ave., New York, NY 10026",Plant Based,https://www.seasonedvegan.com/
Grass Roots Juicery,1,"336A Graham Ave., Brooklyn, NY 11211",Plant Based,http://grassrootsjuicery.com/
Juice Generation,1,Multiple locations NYC,Plant Based,https://www.juicegeneration.com/
Juice Press,1,Multiple locations NYC,Plant Based,https://juicepress.com/
Dr. Smood,1,Multiple locations NYC,Plant Based,https://www.drsmood.com/
Baby Cakes NYC,1,"248 Broome St., New York, NY 10002",Plant Based,https://www.erinmckennasbakery.com/
Birdbath Bakery,1,"3 West 18th Street New York, NY",Plant Based,http://thecitybakery.com/birdbath-bakery/
Dunwell Doughnuts,1,"Montrose Ave., Brooklyn, NY 11206",Plant Based,https://www.dunwelldoughnuts.com/
