,name,green_rating
133,24 CARROTS JUICE BAR & CAFE,2
202,32 SHEA,2
828,AHIPOKI BOWL,2
390,7TH STREET PUBLIC MARKET,2
643,ABUELO'S,1
877,AJ'S FINE FOODS,2
568,A.Y.C.E. BUFFET,2
363,7-ELEVEN,1
825,AHIPOKI,2
215,360 RESTAURANT,1
191,300 EAST,2
675,ACES & ALES,1
322,5CHURCH,1
327,5TH AND WINE,1
937,AKITA SUSHI,1
88,1897 MARKET,2
500,A PIECE OF HAVANA,2
320,595 CRAFT AND KITCHEN,2
549,A&W,1
399,800 DEGREES,1
225,3ON SMITH CAFE,2
905,AJO AL'S MEXICAN CAFE,1
403,808 HAWAII MIXED PLATE,1
249,416 SNACK BAR,1
883,AJ'S PURVEYOR OF FINE FOODS,2
314,56 KITCHEN,2
45,131 MAIN,1
271,5 & DINER,1
595,ABAY ETHIOPIAN CUISINE,2
11,0109 DESSERT & CHOCOLATE,2
820,AH-SO SUSHI & STEAK,1
649,ABYSSINIA RESTAURANT AND CAFE,2
129,21ST STREET COFFEE AND TEA,2
900,AJISEN RAMEN,1
893,AJI SAI JAPANESE RESTAURANT,1
787,AGAINST THE GRAIN,1
34,107 SKYLOUNGE,1
408,808 TAPAS,1
651,ACACIA CAFE,2
833,AHWATUKEE FARMERS' MARKET,2
179,3 PALMS PIZZERIA,1
119,204 NORTH KITCHEN & COCKTAILS,2
384,7TH & CARSON,1
61,168 MARKET,2
448,99 CENTS ONLY STORES,1
450,99 RANCH MARKET,1
789,AGAVE,1
362,7 WEST CAFE,1
407,808 SUSHI,1
697,ACTINOLITE RESTAURANT,2
647,ABYSSINIA ETHIOPIAN RESTAURANT,2
920,AKAIHANA SUSHI & GRILL,1
63,168 SUSHI JAPAN BUFFET,1
849,AIOLI GOURMET BURGERS,2
328,5TH AVENUE CAFE,2
809,AGRIKOL,2
642,ABUELA'S TACOS,2
515,A T OASIS COFFEE & TEA SHOP,2
911,AKA TEPPAN,1
294,50'S DINER OMELET HOUSE,1
841,AIELLO'S EAST COAST ITALIAN,2
246,40TH STREET CAFE,2
79,1847 AT THE STAMM HOUSE,2
242,4&20 BAKERY & CAFE,2
822,AHI MAHI FISH GRILL,2
36,111 BISTRO,2
987,AL'S BEEF,1
370,702 PREP,2
827,AHIPOKI - TEMPE,2
730,ADELA'S ITALIAN,1
913,AKA-ONI IZAKAYA,1
160,3 AMIGOS,1
37,1130 THE RESTAURANT,1
720,ADDA COFFEE & TEA HOUSE,2
743,ADONIS,1
415,850 DEGREES PIZZERIA,1
153,28GO THE RESTAURANT,2
425,8OZ KOREAN STEAK HOUSE,1
209,35 STEAKS + MARTINIS,1
46,131 MAIN RESTAURANT,1
90,1900 MEXICAN GRILL,1
304,521 BBQ & GRILL,1
733,ADI'S ACTIVE NUTRITION,2
342,61C CAFE,2
394,8 NOODLE BAR,1
593,ABARI GAME BAR,2
895,AJI SPA,2
916,AKAHANA ASIAN BISTRO,1
747,ADRIAN'S,2
613,ABC STORES,2
635,ABRUZZO PIZZA,1
644,ABUGIDA ETHIOPIAN CAFE & RESTAURANT,2
214,360 GOURMET BURRITO,2
194,3030,1
483,A LA BRASA MEXICAN GRILL,2
842,AIELLO'S PIZZA,1
840,AIELLO'S,1
797,AGIO,1
611,ABC STORE,2
62,168 SUSHI ASIAN BUFFET,1
255,48TH AND CREPE,2
810,AGRITOPIA,2
474,A COOKIE & A CUPCAKE BOUTIQUE,2
284,5 R CHA THAI BISTRO,2
219,37 SOL SOUTHWEST KITCHEN AND TEQUILA BAR,2
997,AL'S GARAGE,2
584,AAAMAZING SALAD,2
904,AJO AL'S,1
509,A SHOT OF JAVA,2
355,7 NUMBERS RESTAURANT,2
774,AFRICAN PALACE,2
266,4TH SPOT KITCHEN & BAR,2
439,92ND STREET CAFE,1
183,3 ROOTS COFFEE HOUSE AND CAFE,2
331,5TH ELEMENT COFFEE,2
121,21 CAKES,2
354,7 NUMBERS DANFORTH,2
668,ACE HOTEL PITTSBURGH,2
248,414 PUB & PIZZA,1
826,AHIPOKI - PHOENIX,2
