Join Year,Organization,Title,Address,City,State,ZipPostal,CountryOverride,Locale,Phone,URL,Latitude,Longitude,PartnerTypes,NewUntil,Created,Updated
2014,Seafood Watch,A Taste of Monterey,700 Cannery Row #77,Monterey,California,93940,United States,null,(831) 646-5446,http://www.atasteofmonterey.com,36.616321,-121.900239,Restaurant Partner,3/29/15 7:00,9/29/14 18:08,1/21/19 0:44
2014,Seafood Watch,ABQ BioPark Aquarium,2601 Central Avenue NW,Albuquerque,New Mexico,87104,United States,National,(505) 768-2000,http://www.cabq.gov/culturalservices/biopark,35.093142,-106.679333,Conservation Partner,null,8/26/14 13:06,1/31/19 18:45
2017,Seafood Watch,Acuícola del Norte,Don Carlos 2939 oficina 101 Las Condes,"Santiago, Region Metropolitana",null,7550171,Chile,null,(56-52) 35 3069,http://www.acuinor.cl/,null,null,Industry Collaborator,1/11/18 8:00,7/11/17 22:33,1/21/19 18:15
2015,Seafood Watch,Addiction Foods LLC,8228 S 192nd St,Kent,Washington,98032,United States,null,(425) 251-0330,https://www.addictionfoods.com/,47.430233,-122.229657,Business Partner,5/3/16 0:00,11/3/15 9:04,11/3/15 9:12
2014,Seafood Watch,Adventure Aquarium,1 Riverside Drive,Camden,New Jersey,8103,United States,National,(856) 365-3300,http://www.adventureaquarium.com,39.944098,-75.130677,Conservation Partner,9/10/14 0:00,8/26/14 13:06,7/27/16 11:34
2017,Seafood Watch,Aeon for Ocean,null,Eden Prairie,Minnesota,null,United States,null,null,http://www.aeonforocean.org/,null,null,Conservation Partner,12/22/17 8:00,6/22/17 18:48,2/2/18 0:23
2015,Seafood Watch,Akron Zoo,500 Edgewood Ave,Akron,Ohio,44307,United States,National,(330) 375-2550,https://www.akronzoo.org/,41.078864,-81.541468,Conservation Partner,5/18/16 0:00,12/21/15 9:09,7/27/16 11:34
2014,Seafood Watch,Alaskan Leader Seafoods,4215 21st Avenue West Suite 200,Seattle,Washington,98199,United States,null,(206) 965-1881,https://alaskanleader.com/,47.658326,-122.383798,Industry Collaborator,10/15/14 7:00,8/26/14 13:06,1/21/19 18:15
2016,Seafood Watch,Albion Farms and Fisheries,1900 No. 6 Rd.,"Richmond, British Columbia",null,V6V 1W3,Canada,null,(800) 661-0071,http://albion.ca,49.2,-123.069,Industry Collaborator,6/1/17 7:00,12/1/16 13:55,1/21/19 18:15
2017,Seafood Watch,Alexandria Zoological Park,3016 Masonic Dr.,Alexandria,Louisiana,71301,United States,null,(318) 441-6833,http://www.thealexandriazoo.com/,31.28769,-92.45724,Conservation Partner,11/16/17 8:00,5/16/17 22:02,5/16/17 22:06
2014,Seafood Watch,American Association of Zoo Keepers,"8476 E. Speedway Blvd., Ste. 204",Tucson,Arizona,85710,United States,null,(520) 298-9688,http://aazk.org/,32.234867,-110.811391,Conservation Partner,null,8/26/14 13:05,8/26/15 15:31
2015,Seafood Watch,Anaheim Convention Center,800 West Katella Ave.,Anaheim,California,92802,United States,null,(714) 765-8950,http://meetings.anaheimoc.org/anaheim-convention-center,33.800215,-117.921003,Business Partner,null,6/30/15 13:53,2/23/16 8:34
2017,Seafood Watch,Andromeda,"C/ Zinc, S/N, Poligono Industrial Carabona","Burriana, Castellon",null,12530,Spain,null,null,http://www.andromedagroup.eu/,null,null,Industry Collaborator,3/15/18 7:00,9/15/17 23:44,1/21/19 18:15
2016,Seafood Watch,Aquarium of Boise,64 N. Cole Rd.,Boise,Idaho,83704,United States,null,(208) 375-1932,http://www.aquariumboise.net/,43.605499,-116.273307,Conservation Partner,1/15/17 0:00,7/15/16 9:17,7/27/16 11:34
